"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FSMMA_genomic","SM2011_genomic"
"group_2687","","hypothetical protein","2","2","1","1","4220","","","","302","302","302","JPHAALHC_00223","PPGGGBPO_02661"
"group_2688","","hypothetical protein","2","2","1","1","4912","","","","599","599","599","JPHAALHC_01433","PPGGGBPO_01589"
"fadJ_1","","Fatty acid oxidation complex subunit alpha","2","2","1","1","3599","","","","2213","2213","2213","JPHAALHC_03122","PPGGGBPO_03284"
"group_269","","hypothetical protein","2","2","1","1","6575","","","","2228","2366","2297","JPHAALHC_04437","PPGGGBPO_04701"
"glmU","","Bifunctional protein GlmU","2","2","1","1","5473","","","","1370","1370","1370","JPHAALHC_00862","PPGGGBPO_02100"
"group_2691","","hypothetical protein","2","2","1","1","1030","","","","830","830","830","JPHAALHC_02445","PPGGGBPO_00505"
"fabI_2","","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","2","2","1","1","3977","","","","818","818","818","JPHAALHC_03480","PPGGGBPO_02906"
"group_2693","","hypothetical protein","2","2","1","1","7059","","","","878","878","878","JPHAALHC_02999","PPGGGBPO_03413"
"araN_3","","putative arabinose-binding protein","2","2","1","1","2604","","","","1232","1232","1232","JPHAALHC_06070","PPGGGBPO_06155"
"hutH_1","","Histidine ammonia-lyase","2","2","1","1","104","","","","1499","1499","1499","JPHAALHC_01973","PPGGGBPO_01022"
"gph_4","","Phosphoglycolate phosphatase","2","2","1","1","4768","","","","635","635","635","JPHAALHC_01579","PPGGGBPO_01445"
"alsB_2","","D-allose-binding periplasmic protein","2","2","1","1","6144","","","","1112","1112","1112","JPHAALHC_03994","PPGGGBPO_03827"
"dtd3","","D-aminoacyl-tRNA deacylase","2","2","1","1","5536","","","","779","779","779","JPHAALHC_00795","PPGGGBPO_02168"
"fghA_2","","S-formylglutathione hydrolase","2","2","1","1","1822","","","","830","830","830","JPHAALHC_05457","PPGGGBPO_05234"
"group_27","","hypothetical protein","2","2","1","1","5328","","","","518","827","672","JPHAALHC_01015","PPGGGBPO_02007"
"group_270","","hypothetical protein","2","2","1","1","6574","","","","1463","1466","1464","JPHAALHC_04438","PPGGGBPO_04700"
"lsrR_1","","Transcriptional regulator LsrR","2","2","1","1","4824","","","","959","959","959","JPHAALHC_01523","PPGGGBPO_01501"
"group_2701","opuAA_1","Glycine betaine transport ATP-binding protein OpuAA","2","2","1","1","5107","","","","1046","1046","1046","JPHAALHC_01237","PPGGGBPO_01785"
"group_2702","","hypothetical protein","2","2","1","1","7107","","","","185","185","185","JPHAALHC_02950","PPGGGBPO_03462"
"group_2703","","hypothetical protein","2","2","1","1","4114","","","","92","92","92","JPHAALHC_00118","PPGGGBPO_02768"
"group_2704","","hypothetical protein","2","2","1","1","5266","","","","536","536","536","JPHAALHC_01078","PPGGGBPO_01944"
"argT_1","","Lysine/arginine/ornithine-binding periplasmic protein","2","2","1","1","3630","","","","782","782","782","JPHAALHC_03152","PPGGGBPO_03253"
"cyoC_1","","Cytochrome bo(3) ubiquinol oxidase subunit 3","2","2","1","1","4544","","","","722","722","722","JPHAALHC_01801","PPGGGBPO_01217"
"group_2707","","hypothetical protein","2","2","1","1","3037","","","","365","365","365","JPHAALHC_04856","PPGGGBPO_04288"
"lpxH","","UDP-2,3-diacylglucosamine hydrolase","2","2","1","1","5236","","","","845","845","845","JPHAALHC_01108","PPGGGBPO_01914"
"hrp1_1","","Hypoxic response protein 1","2","2","1","1","5728","","","","428","428","428","JPHAALHC_00602","PPGGGBPO_02361"
"gsiC_14","","Glutathione transport system permease protein GsiC","2","2","1","1","3288","","","","1016","1016","1016","JPHAALHC_04441","PPGGGBPO_04627"
"ycaD_2","","putative MFS-type transporter YcaD","2","2","1","1","4284","","","","1235","1235","1235","JPHAALHC_00285","PPGGGBPO_02598"
"ugpC_6","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","2","2","1","1","5148","","","","1085","1085","1085","JPHAALHC_01196","PPGGGBPO_01826"
"group_2712","","hypothetical protein","2","2","1","1","5178","","","","590","590","590","JPHAALHC_01166","PPGGGBPO_01856"
"group_2713","","hypothetical protein","2","2","1","1","6051","","","","155","155","155","JPHAALHC_04085","PPGGGBPO_03739"
"ftsE","","Cell division ATP-binding protein FtsE","2","2","1","1","56","","","","623","623","623","JPHAALHC_01925","PPGGGBPO_01070"
"group_2715","glpR_1","Glycerol-3-phosphate regulon repressor","2","2","1","1","4838","","","","785","785","785","JPHAALHC_01509","PPGGGBPO_01515"
"araF","","L-arabinose-binding periplasmic protein","2","2","1","1","2149","","","","983","983","983","JPHAALHC_05132","PPGGGBPO_05564"
"aqpZ2_1","","Aquaporin Z 2","2","2","1","1","4894","","","","686","686","686","JPHAALHC_01451","PPGGGBPO_01571"
"parC","","DNA topoisomerase 4 subunit A","2","2","1","1","4290","","","","2276","2276","2276","JPHAALHC_00292","PPGGGBPO_02591"
"tadA","","tRNA-specific adenosine deaminase","2","2","1","1","3874","","","","449","449","449","JPHAALHC_03381","PPGGGBPO_03005"
"cyaB_3","","Adenylate cyclase 2","2","2","1","1","3290","","","","3131","3170","3150","JPHAALHC_04443","PPGGGBPO_04625"
"group_2720","cyaA_6","Adenylate cyclase 1","2","2","1","1","3673","","","","1247","1247","1247","JPHAALHC_03178","PPGGGBPO_03227"
"group_2721","","hypothetical protein","2","2","1","1","3950","","","","1061","1061","1061","JPHAALHC_03454","PPGGGBPO_02933"
"cmtR","","HTH-type transcriptional regulator CmtR","2","2","1","1","4006","","","","683","683","683","JPHAALHC_00008","PPGGGBPO_02878"
"group_2723","","hypothetical protein","2","2","1","1","523","","","","860","860","860","JPHAALHC_05591","PPGGGBPO_05104"
"group_2724","ribN_1","Riboflavin transporter","2","2","1","1","4112","","","","938","938","938","JPHAALHC_00116","PPGGGBPO_02770"
"group_2725","purN_2","Phosphoribosylglycinamide formyltransferase","2","2","1","1","5092","","","","809","809","809","JPHAALHC_01251","PPGGGBPO_01771"
"group_2726","","hypothetical protein","2","2","1","1","474","","","","146","146","146","JPHAALHC_05544","PPGGGBPO_05148"
"atpG_2","","ATP synthase subunit b'","2","2","1","1","3915","","","","614","614","614","JPHAALHC_03418","PPGGGBPO_02968"
"cdhR_4","","HTH-type transcriptional regulator CdhR","2","2","1","1","5387","","","","1001","1001","1001","JPHAALHC_00950","PPGGGBPO_02071"
"gph_5","","Phosphoglycolate phosphatase","2","2","1","1","3885","","","","710","710","710","JPHAALHC_03392","PPGGGBPO_02994"
"group_273","","hypothetical protein","2","2","1","1","3441","","","","239","482","360","JPHAALHC_04456","PPGGGBPO_04665"
"group_2730","","hypothetical protein","2","2","1","1","3651","","","","227","227","227","JPHAALHC_03173","PPGGGBPO_03232"
"cseB_1","","Transcriptional regulatory protein CseB","2","2","1","1","121","","","","368","368","368","JPHAALHC_01991","PPGGGBPO_01004"
"group_2732","","hypothetical protein","2","2","1","1","5002","","","","953","953","953","JPHAALHC_01343","PPGGGBPO_01680"
"atpC","","ATP synthase epsilon chain","2","2","1","1","6786","","","","404","404","404","JPHAALHC_02338","PPGGGBPO_00677"
"mrpE","","Na(+)/H(+) antiporter subunit E","2","2","1","1","4077","","","","476","476","476","JPHAALHC_00080","PPGGGBPO_02805"
"bpoC","","Putative non-heme bromoperoxidase BpoC","2","2","1","1","1031","","","","809","809","809","JPHAALHC_02444","PPGGGBPO_00506"
"group_2736","","hypothetical protein","2","2","1","1","4229","","","","332","332","332","JPHAALHC_00232","PPGGGBPO_02652"
"group_2737","","hypothetical protein","2","2","1","1","5739","","","","101","101","101","JPHAALHC_00591","PPGGGBPO_02373"
"group_2738","","hypothetical protein","2","2","1","1","5212","","","","917","917","917","JPHAALHC_01132","PPGGGBPO_01890"
"aat","","Leucyl/phenylalanyl-tRNA--protein transferase","2","2","1","1","4410","","","","614","614","614","JPHAALHC_00415","PPGGGBPO_02468"
"group_274","","hypothetical protein","2","2","1","1","3283","","","","1091","1091","1091","JPHAALHC_04464","PPGGGBPO_04689"
"group_2740","xylB_5","Xylulose kinase","2","2","1","1","297","","","","1454","1454","1454","JPHAALHC_02167","PPGGGBPO_00825"
"group_2741","entS_2","Enterobactin exporter EntS","2","2","1","1","6733","","","","1247","1247","1247","JPHAALHC_02391","PPGGGBPO_00624"
"nuoL","","NADH-quinone oxidoreductase subunit L","2","2","1","1","4370","","","","1994","1994","1994","JPHAALHC_00375","PPGGGBPO_02508"
"glnE","","Glutamate-ammonia-ligase adenylyltransferase","2","2","1","1","4109","","","","2960","2960","2960","JPHAALHC_00113","PPGGGBPO_02773"
"group_2744","sugB_5","Trehalose transport system permease protein SugB","2","2","1","1","1967","","","","830","830","830","JPHAALHC_05315","PPGGGBPO_05379"
"pld1_1","","Pyridoxal 4-dehydrogenase","2","2","1","1","864","","","","1019","1019","1019","JPHAALHC_02606","PPGGGBPO_00339"
"group_2746","","hypothetical protein","2","2","1","1","149","","","","875","875","875","JPHAALHC_02018","PPGGGBPO_00976"
"ligA","","DNA ligase","2","2","1","1","4902","","","","2153","2153","2153","JPHAALHC_01443","PPGGGBPO_01579"
"group_2748","","hypothetical protein","2","2","1","1","3760","","","","566","566","566","JPHAALHC_03265","PPGGGBPO_03121"
"yrrB","","TPR repeat-containing protein YrrB","2","2","1","1","259","","","","887","887","887","JPHAALHC_02129","PPGGGBPO_00863"
"kce_2","","3-keto-5-aminohexanoate cleavage enzyme","2","2","1","1","2913","","","","713","713","713","JPHAALHC_04560","PPGGGBPO_04687"
"immR","","HTH-type transcriptional regulator ImmR","2","2","1","1","5753","","","","398","398","398","JPHAALHC_00576","PPGGGBPO_02387"
"group_2751","","hypothetical protein","2","2","1","1","5548","","","","617","617","617","JPHAALHC_00782","PPGGGBPO_02180"
"tetR","","Tetracycline repressor protein class H","2","2","1","1","7011","","","","695","695","695","JPHAALHC_03050","PPGGGBPO_03366"
"group_2753","cytR_4","HTH-type transcriptional repressor CytR","2","2","1","1","1804","","","","986","986","986","JPHAALHC_05475","PPGGGBPO_05216"
"group_2754","","hypothetical protein","2","2","1","1","475","","","","173","173","173","JPHAALHC_05545","PPGGGBPO_05147"
"group_2755","","hypothetical protein","2","2","1","1","195","","","","794","794","794","JPHAALHC_02064","PPGGGBPO_00930"
"gldA","","Glycerol dehydrogenase","2","2","1","1","4511","","","","1094","1094","1094","JPHAALHC_01813","PPGGGBPO_01184"
"group_2757","","hypothetical protein","2","2","1","1","2534","","","","212","212","212","JPHAALHC_06139","PPGGGBPO_06086"
"ehpR","","Phenazine antibiotic resistance protein EhpR","2","2","1","1","6922","","","","368","368","368","JPHAALHC_02818","PPGGGBPO_00125"
"group_2759","","2-aminohexano-6-lactam racemase","2","2","1","1","4472","","","","1313","1313","1313","JPHAALHC_01851","PPGGGBPO_01145"
"group_276","","hypothetical protein","2","2","1","1","2906","","","","323","323","323","JPHAALHC_04561","PPGGGBPO_04686"
"group_2760","","hypothetical protein","2","2","1","1","6090","","","","203","203","203","JPHAALHC_04047","PPGGGBPO_03778"
"group_2761","","hypothetical protein","2","2","1","1","6910","","","","1265","1265","1265","JPHAALHC_02806","PPGGGBPO_00137"
"uvrA","","UvrABC system protein A","2","2","1","1","5583","","","","2921","2921","2921","JPHAALHC_00747","PPGGGBPO_02215"
"lgoR","","putative HTH-type transcriptional regulator LgoR","2","2","1","1","866","","","","878","878","878","JPHAALHC_02604","PPGGGBPO_00341"
"phoR","","Alkaline phosphatase synthesis sensor protein PhoR","2","2","1","1","3577","","","","1262","1262","1262","JPHAALHC_03099","PPGGGBPO_03307"
"pckA","","Phosphoenolpyruvate carboxykinase [ATP]","2","2","1","1","838","","","","1610","1610","1610","JPHAALHC_02632","PPGGGBPO_00313"
"group_2766","","Inorganic triphosphatase","2","2","1","1","287","","","","473","473","473","JPHAALHC_02157","PPGGGBPO_00835"
"group_2767","","hypothetical protein","2","2","1","1","5457","","","","962","962","962","JPHAALHC_00879","PPGGGBPO_02083"
"group_2768","","hypothetical protein","2","2","1","1","5265","","","","1499","1499","1499","JPHAALHC_01079","PPGGGBPO_01943"
"ctaD","","Cytochrome c oxidase subunit 1","2","2","1","1","3984","","","","1688","1688","1688","JPHAALHC_03487","PPGGGBPO_02899"
"dppA_7","","Periplasmic dipeptide transport protein","2","2","1","1","6308","","","","1631","1631","1631","JPHAALHC_04585","PPGGGBPO_04192"
"cysK1","","O-acetylserine sulfhydrylase","2","2","1","1","7123","","","","968","968","968","JPHAALHC_02934","PPGGGBPO_00009"
"group_2771","","Purine nucleoside phosphoramidase","2","2","1","1","5653","","","","419","419","419","JPHAALHC_00677","PPGGGBPO_02286"
"lpxA","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase","2","2","1","1","5638","","","","812","812","812","JPHAALHC_00692","PPGGGBPO_02271"
"prr","","Gamma-aminobutyraldehyde dehydrogenase","2","2","1","1","4797","","","","1427","1427","1427","JPHAALHC_01550","PPGGGBPO_01474"
"nphR_2","","Transcriptional activator NphR","2","2","1","1","2095","","","","1148","1148","1148","JPHAALHC_05186","PPGGGBPO_05510"
"group_2775","","hypothetical protein","2","2","1","1","4976","","","","1184","1184","1184","JPHAALHC_01369","PPGGGBPO_01654"
"cpdA_1","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","2","2","1","1","4688","","","","902","902","902","JPHAALHC_01660","PPGGGBPO_01363"
"ugpC_14","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","2","2","1","1","2720","","","","1067","1067","1067","JPHAALHC_05826","PPGGGBPO_04861"
"moaD","","Molybdopterin synthase sulfur carrier subunit","2","2","1","1","4260","","","","260","260","260","JPHAALHC_00262","PPGGGBPO_02622"
"walK","","Sensor protein kinase WalK","2","2","1","1","5685","","","","2315","2315","2315","JPHAALHC_00645","PPGGGBPO_02318"
"oppF_4","","Oligopeptide transport ATP-binding protein OppF","2","2","1","1","6311","","","","944","944","944","JPHAALHC_04587","PPGGGBPO_04194"
"group_2780","","hypothetical protein","2","2","1","1","1886","","","","1130","1130","1130","JPHAALHC_05394","PPGGGBPO_05298"
"oppC_1","","Oligopeptide transport system permease protein OppC","2","2","1","1","573","","","","1127","1127","1127","JPHAALHC_05640","PPGGGBPO_05053"
"lagD","","Lactococcin-G-processing and transport ATP-binding protein LagD","2","2","1","1","1469","","","","2711","2711","2711","JPHAALHC_04869","PPGGGBPO_05845"
"group_2783","","hypothetical protein","2","2","1","1","5031","","","","905","905","905","JPHAALHC_01312","PPGGGBPO_01710"
"group_2784","","putative FAD-linked oxidoreductase","2","2","1","1","1530","","","","1370","1370","1370","JPHAALHC_04930","PPGGGBPO_05783"
"group_2785","","hypothetical protein","2","2","1","1","196","","","","305","305","305","JPHAALHC_02065","PPGGGBPO_00929"
"pdhR","","Pyruvate dehydrogenase complex repressor","2","2","1","1","3849","","","","827","827","827","JPHAALHC_03356","PPGGGBPO_03030"
"tgpA","","Protein-glutamine gamma-glutamyltransferase","2","2","1","1","243","","","","878","878","878","JPHAALHC_02113","PPGGGBPO_00879"
"mutT","","8-oxo-dGTP diphosphatase","2","2","1","1","4197","","","","461","461","461","JPHAALHC_00200","PPGGGBPO_02683"
"blh_2","","Beta-lactamase hydrolase-like protein","2","2","1","1","5359","","","","875","875","875","JPHAALHC_00971","PPGGGBPO_02051"
"gsiD_8","","Glutathione transport system permease protein GsiD","2","2","1","1","6313","","","","998","998","998","JPHAALHC_04589","PPGGGBPO_04196"
"deoC_2","","Deoxyribose-phosphate aldolase","2","2","1","1","1437","","","","1004","1004","1004","JPHAALHC_06349","PPGGGBPO_05876"
"cyaA_3","","Adenylate cyclase 1","2","2","1","1","4612","","","","1673","1673","1673","JPHAALHC_01733","PPGGGBPO_01287"
"group_2792","","hypothetical protein","2","2","1","1","3684","","","","317","317","317","JPHAALHC_03189","PPGGGBPO_03197"
"livQ","","6'''-hydroxyparomomycin C oxidase","2","2","1","1","926","","","","1508","1508","1508","JPHAALHC_02545","PPGGGBPO_00401"
"group_2794","yitJ_2","Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase","2","2","1","1","5102","","","","1013","1013","1013","JPHAALHC_01242","PPGGGBPO_01780"
"group_2795","","hypothetical protein","2","2","1","1","2728","","","","122","122","122","JPHAALHC_05834","PPGGGBPO_04853"
"dnaA_1","","Chromosomal replication initiator protein DnaA","2","2","1","1","5043","","","","518","518","518","JPHAALHC_01300","PPGGGBPO_01722"
"group_2797","","Glycerate dehydrogenase","2","2","1","1","4586","","","","974","974","974","JPHAALHC_01759","PPGGGBPO_01261"
"group_2798","","hypothetical protein","2","2","1","1","4737","","","","197","197","197","JPHAALHC_01611","PPGGGBPO_01412"
"panB_1","","3-methyl-2-oxobutanoate hydroxymethyltransferase","2","2","1","1","4905","","","","821","821","821","JPHAALHC_01440","PPGGGBPO_01582"
"soxB_4","","2'-hydroxybiphenyl-2-sulfinate desulfinase","2","2","1","1","6315","","","","1040","1040","1040","JPHAALHC_04591","PPGGGBPO_04198"
"fliF","","Flagellar M-ring protein","2","2","1","1","3715","","","","1673","1673","1673","JPHAALHC_03220","PPGGGBPO_03166"
"group_2801","","hypothetical protein","2","2","1","1","3734","","","","539","539","539","JPHAALHC_03239","PPGGGBPO_03147"
"atpF","","ATP synthase subunit b","2","2","1","1","3914","","","","485","485","485","JPHAALHC_03419","PPGGGBPO_02967"
"erfK","","putative L,D-transpeptidase ErfK/SrfK","2","2","1","1","5546","","","","581","581","581","JPHAALHC_00784","PPGGGBPO_02178"
"zwf","","Glucose-6-phosphate 1-dehydrogenase","2","2","1","1","3773","","","","1475","1475","1475","JPHAALHC_03278","PPGGGBPO_03108"
"fer1","","Ferredoxin-1","2","2","1","1","1180","","","","194","194","194","JPHAALHC_04257","PPGGGBPO_03483"
"glpG","","Rhomboid protease GlpG","2","2","1","1","5729","","","","731","731","731","JPHAALHC_00601","PPGGGBPO_02362"
"hslR","","Heat shock protein 15","2","2","1","1","963","","","","431","431","431","JPHAALHC_02512","PPGGGBPO_00439"
"nudC_2","","NADH pyrophosphatase","2","2","1","1","5325","","","","407","407","407","JPHAALHC_01018","PPGGGBPO_02003"
"group_2809","","hypothetical protein","2","2","1","1","4329","","","","740","740","740","JPHAALHC_00332","PPGGGBPO_02551"
"soxB_5","","2'-hydroxybiphenyl-2-sulfinate desulfinase","2","2","1","1","6318","","","","1034","1034","1034","JPHAALHC_04593","PPGGGBPO_04201"
"ywnA_1","","Putative HTH-type transcriptional regulator YwnA","2","2","1","1","7103","","","","458","458","458","JPHAALHC_02954","PPGGGBPO_03458"
"hmgA","","Homogentisate 1,2-dioxygenase","2","2","1","1","342","","","","1361","1361","1361","JPHAALHC_02212","PPGGGBPO_00780"
"group_2812","","hypothetical protein","2","2","1","1","2807","","","","269","269","269","JPHAALHC_05911","PPGGGBPO_06329"
"group_2813","","hypothetical protein","2","2","1","1","5592","","","","980","980","980","JPHAALHC_00739","PPGGGBPO_02224"
"recA","","Protein RecA","2","2","1","1","5272","","","","1085","1085","1085","JPHAALHC_01072","PPGGGBPO_01950"
"group_2815","","hypothetical protein","2","2","1","1","4760","","","","1229","1229","1229","JPHAALHC_01587","PPGGGBPO_01437"
"tktA_1","","Transketolase 1","2","2","1","1","166","","","","1982","1982","1982","JPHAALHC_02035","PPGGGBPO_00959"
"tig","","Trigger factor","2","2","1","1","5597","","","","1475","1475","1475","JPHAALHC_00734","PPGGGBPO_02229"
"hdaH","","Histone deacetylase-like amidohydrolase","2","2","1","1","3962","","","","929","929","929","JPHAALHC_03465","PPGGGBPO_02921"
"gsiC_16","","Glutathione transport system permease protein GsiC","2","2","1","1","572","","","","1013","1013","1013","JPHAALHC_05639","PPGGGBPO_05054"
"hpxO_2","","FAD-dependent urate hydroxylase","2","2","1","1","6320","","","","1250","1250","1250","JPHAALHC_04595","PPGGGBPO_04203"
"mepM_1","","Murein DD-endopeptidase MepM","2","2","1","1","7","","","","1940","1940","1940","JPHAALHC_01875","PPGGGBPO_01120"
"group_2821","","hypothetical protein","2","2","1","1","5091","","","","146","146","146","JPHAALHC_01252","PPGGGBPO_01770"
"group_2822","","hypothetical protein","2","2","1","1","157","","","","833","833","833","JPHAALHC_02026","PPGGGBPO_00968"
"secE","","Protein translocase subunit SecE","2","2","1","1","5807","","","","200","200","200","JPHAALHC_00522","PPGGGBPO_02441"
"group_2824","","hypothetical protein","2","2","1","1","470","","","","323","323","323","JPHAALHC_05540","PPGGGBPO_05152"
"ureD","","Urease accessory protein UreD","2","2","1","1","4587","","","","833","833","833","JPHAALHC_01758","PPGGGBPO_01262"
"pipB2","","Secreted effector protein PipB2","2","2","1","1","5039","","","","725","725","725","JPHAALHC_01304","PPGGGBPO_01718"
"spo0F","","Sporulation initiation phosphotransferase F","2","2","1","1","229","","","","362","362","362","JPHAALHC_02098","PPGGGBPO_00894"
"group_2828","","hypothetical protein","2","2","1","1","3714","","","","374","374","374","JPHAALHC_03219","PPGGGBPO_03167"
"fucA_1","","L-fuculose phosphate aldolase","2","2","1","1","4832","","","","668","668","668","JPHAALHC_01515","PPGGGBPO_01509"
"group_283","","hypothetical protein","2","2","1","1","6321","","","","650","650","650","JPHAALHC_04596","PPGGGBPO_04204"
"group_2830","","hypothetical protein","2","2","1","1","3910","","","","551","551","551","JPHAALHC_03423","PPGGGBPO_02964"
"yceM","","Putative oxidoreductase YceM","2","2","1","1","1548","","","","1082","1082","1082","JPHAALHC_04948","PPGGGBPO_05765"
"group_2832","","hypothetical protein","2","2","1","1","1055","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","311","311","311","JPHAALHC_02419","PPGGGBPO_00531"
"nuoK_2","","NADH-quinone oxidoreductase subunit K","2","2","1","1","6207","","","","302","302","302","JPHAALHC_03931","PPGGGBPO_03890"
"mraY","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","2","2","1","1","4887","","","","1100","1100","1100","JPHAALHC_01458","PPGGGBPO_01564"
"ribN_3","","Riboflavin transporter","2","2","1","1","4861","","","","953","953","953","JPHAALHC_01485","PPGGGBPO_01538"
"proC_1","","Pyrroline-5-carboxylate reductase","2","2","1","1","4723","","","","818","818","818","JPHAALHC_01625","PPGGGBPO_01398"
"dxr","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","2","2","1","1","421","","","","1175","1175","1175","JPHAALHC_02294","PPGGGBPO_00723"
"group_2838","","hypothetical protein","2","2","1","1","64","","","","764","764","764","JPHAALHC_01933","PPGGGBPO_01062"
"group_2839","","hypothetical protein","2","2","1","1","5466","","","","584","584","584","JPHAALHC_00869","PPGGGBPO_02093"
"ntaA_1","","Nitrilotriacetate monooxygenase component A","2","2","1","1","6322","","","","1301","1301","1301","JPHAALHC_04597","PPGGGBPO_04205"
"hisH1","","Imidazole glycerol phosphate synthase subunit HisH 1","2","2","1","1","830","","","","650","650","650","JPHAALHC_02640","PPGGGBPO_00305"
"mmsB","","putative 3-hydroxyisobutyrate dehydrogenase","2","2","1","1","694","","","","896","896","896","JPHAALHC_05748","PPGGGBPO_04936"
"group_2842","","hypothetical protein","2","2","1","1","6194","","","","440","440","440","JPHAALHC_03944","PPGGGBPO_03877"
"group_2843","","putative oxidoreductase","2","2","1","1","40","","","","833","833","833","JPHAALHC_01909","PPGGGBPO_01086"
"ribN_4","","Riboflavin transporter","2","2","1","1","362","","","","881","881","881","JPHAALHC_02231","PPGGGBPO_00760"
"siaP_3","","Sialic acid-binding periplasmic protein SiaP","2","2","1","1","1940","","","","971","971","971","JPHAALHC_05340","PPGGGBPO_05352"
"gpuA","","Guanidinopropionase","2","2","1","1","4563","","","","1058","1058","1058","JPHAALHC_01782","PPGGGBPO_01236"
"group_2847","","hypothetical protein","2","2","1","1","5371","","","","566","566","566","JPHAALHC_00966","PPGGGBPO_02055"
"oxyR_1","","Hydrogen peroxide-inducible genes activator","2","2","1","1","4802","","","","908","908","908","JPHAALHC_01545","PPGGGBPO_01479"
"group_2849","","hypothetical protein","2","2","1","1","3821","","","","812","812","812","JPHAALHC_03327","PPGGGBPO_03059"
"trkI_2","","Trk system potassium uptake protein TrkI","2","2","1","1","6295","","","","962","1427","1194","JPHAALHC_04600","PPGGGBPO_03974"
"group_2850","","Glucose 1-dehydrogenase","2","2","1","1","4740","","","","761","761","761","JPHAALHC_01608","PPGGGBPO_01416"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","2","2","1","1","853","","","","914","914","914","JPHAALHC_02617","PPGGGBPO_00328"
"ruvB","","Holliday junction ATP-dependent DNA helicase RuvB","2","2","1","1","152","","","","1040","1040","1040","JPHAALHC_02021","PPGGGBPO_00973"
"gno_1","","Gluconate 5-dehydrogenase","2","2","1","1","6126","","","","779","779","779","JPHAALHC_04012","PPGGGBPO_03812"
"fixJ_1","","Transcriptional regulatory protein FixJ","2","2","1","1","2371","","","","614","614","614","JPHAALHC_04114","PPGGGBPO_03707"
"group_2855","","hypothetical protein","2","2","1","1","3751","","","","347","347","347","JPHAALHC_03256","PPGGGBPO_03130"
"suhB_3","","Fructose-1,6-bisphosphatase/inositol-1-monophosphatase","2","2","1","1","3882","","","","818","818","818","JPHAALHC_03389","PPGGGBPO_02997"
"group_2857","","hypothetical protein","2","2","1","1","3552","","","","461","461","461","JPHAALHC_03073","PPGGGBPO_03346"
"group_2858","","hypothetical protein","2","2","1","1","202","","","","626","626","626","JPHAALHC_02071","PPGGGBPO_00923"
"icd","","Isocitrate dehydrogenase [NADP]","2","2","1","1","5279","","","","1214","1214","1214","JPHAALHC_01064","PPGGGBPO_01957"
"nagAb","","Naphthalene 1,2-dioxygenase/salicylate 5-hydroxylase systems, ferredoxin component","2","2","1","1","3222","","","","311","311","311","JPHAALHC_04605","PPGGGBPO_04181"
"group_2860","","hypothetical protein","2","2","1","1","5386","","","","647","647","647","JPHAALHC_00951","PPGGGBPO_02070"
"ispB","","Octaprenyl-diphosphate synthase","2","2","1","1","3905","","","","1016","1016","1016","JPHAALHC_03428","PPGGGBPO_02959"
"oxyR_2","","Hydrogen peroxide-inducible genes activator","2","2","1","1","3838","","","","953","953","953","JPHAALHC_03345","PPGGGBPO_03041"
"group_2863","","hypothetical protein","2","2","1","1","4728","","","","266","266","266","JPHAALHC_01620","PPGGGBPO_01403"
"hxuC","","Heme/hemopexin utilization protein C","2","2","1","1","4676","","","","2231","2231","2231","JPHAALHC_01670","PPGGGBPO_01351"
"group_2865","","hypothetical protein","2","2","1","1","3613","","","","266","266","266","JPHAALHC_03135","PPGGGBPO_03270"
"group_2866","","hypothetical protein","2","2","1","1","4701","","","","185","185","185","JPHAALHC_01647","PPGGGBPO_01376"
"group_2867","","hypothetical protein","2","2","1","1","1308","","","","500","500","500","JPHAALHC_06221","PPGGGBPO_06004"
"group_2868","","hypothetical protein","2","2","1","1","6237","","","","716","716","716","JPHAALHC_03901","PPGGGBPO_03920"
"group_2869","","hypothetical protein","2","2","1","1","819","","","","524","524","524","JPHAALHC_02651","PPGGGBPO_00294"
"mglB","","D-galactose-binding periplasmic protein","2","2","1","1","3221","","","","251","944","597","JPHAALHC_04606","PPGGGBPO_04182"
"ddpC_1","","putative D,D-dipeptide transport system permease protein DdpC","2","2","1","1","4652","","","","932","932","932","JPHAALHC_01693","PPGGGBPO_01327"
"mnhE1","","Na(+)/H(+) antiporter subunit E1","2","2","1","1","315","","","","485","485","485","JPHAALHC_02185","PPGGGBPO_00807"
"group_2872","","hypothetical protein","2","2","1","1","1346","","","","1172","1172","1172","JPHAALHC_06258","PPGGGBPO_05966"
